,Alexandrine_parakeet,Common_myna,Common_sparrow,Drongo,Green_pigeon,None,Peacock,Sunbird,Tailor_bird
Population,2531,2531,2531,2531,2531,2531,2531,2531,2531
P: Condition positive,104,245,442,372,331,0,279,517,241
N: Condition negative,2427,2286,2089,2159,2200,2531,2252,2014,2290
Test outcome positive,6,342,818,713,57,486,23,72,14
Test outcome negative,2525,2189,1713,1818,2474,2045,2508,2459,2517
TP: True Positive,1,44,176,200,20,0,10,24,5
TN: True Negative,2422,1988,1447,1646,2163,2045,2239,1966,2281
FP: False Positive,5,298,642,513,37,486,13,48,9
FN: False Negative,103,201,266,172,311,0,269,493,236
"TPR: (Sensitivity, hit rate, recall)",0.009615384615384616,0.17959183673469387,0.39819004524886875,0.5376344086021505,0.06042296072507553,,0.035842293906810034,0.04642166344294004,0.02074688796680498
TNR=SPC: (Specificity),0.9979398434281005,0.8696412948381452,0.6926759214935376,0.762389995368226,0.9831818181818182,0.8079810351639668,0.9942273534635879,0.9761668321747765,0.9960698689956332
PPV: Pos Pred Value (Precision),0.16666666666666666,0.1286549707602339,0.21515892420537897,0.2805049088359046,0.3508771929824561,0.0,0.43478260869565216,0.3333333333333333,0.35714285714285715
NPV: Neg Pred Value,0.9592079207920792,0.9081772498857926,0.8447168709865732,0.9053905390539054,0.8742926434923202,1.0,0.8927432216905901,0.799511996746645,0.9062375844259039
FPR: False-out,0.0020601565718994645,0.13035870516185477,0.30732407850646243,0.23761000463177398,0.01681818181818182,0.1920189648360332,0.005772646536412078,0.023833167825223437,0.003930131004366812
FDR: False Discovery Rate,0.8333333333333334,0.8713450292397661,0.784841075794621,0.7194950911640954,0.6491228070175439,1.0,0.5652173913043478,0.6666666666666666,0.6428571428571429
FNR: Miss Rate,0.9903846153846154,0.8204081632653061,0.6018099547511312,0.46236559139784944,0.9395770392749244,,0.96415770609319,0.9535783365570599,0.979253112033195
ACC: Accuracy,0.9573291189253259,0.8028447254049783,0.6412485183721849,0.729355985776373,0.8625049387593836,0.8079810351639668,0.8885815883050178,0.7862504938759384,0.9032003160806006
F1 score,0.01818181818181818,0.14991482112436116,0.27936507936507937,0.3686635944700461,0.10309278350515463,0.0,0.06622516556291391,0.08149405772495756,0.0392156862745098
MCC: Matthews correlation coefficient,0.03083846969501634,0.042583630249024854,0.07376091115616093,0.23616344118839913,0.09908824822340957,,0.09924004345228331,0.05477934059794537,0.06655227174576012
Informedness,0.007555228043485185,0.04923313157283915,0.09086596674240632,0.30002440397037655,0.043604778906893626,,0.030069647370397856,0.022588495617716475,0.01681675696243823
Markedness,0.1258745874587459,0.03683222064602654,0.059875795191952186,0.18589544788981005,0.22516983647477629,0.0,0.3275258303862423,0.13284533007997834,0.26338044156876106
Prevalence,0.04109047807190833,0.09679968391939944,0.17463453180561042,0.14697747925721058,0.1307783484788621,0.0,0.11023310944290794,0.2042670881074674,0.09521928091663374
LR+: Positive likelihood ratio,4.667307692307692,1.3776742911929871,1.2956682313471757,2.2626758054035925,3.5927165836531394,,6.208988144472015,1.9477756286266925,5.278930382664822
LR-: Negative likelihood ratio,0.9924291748713715,0.9433868517225803,0.8688189326020131,0.6064685977083578,0.9556493233494378,,0.9697557633416095,0.9768600049979241,0.9831168902043036
DOR: Diagnostic odds ratio,4.702912621359222,1.4603492604093626,1.4912983393062094,3.7309034861054444,3.759450769097071,,6.402630826422648,1.9939148073022313,5.369585687382298
FOR: False omission rate,0.040792079207920794,0.0918227501142074,0.15528312901342672,0.09460946094609461,0.12570735650767986,0.0,0.10725677830940988,0.20048800325335503,0.09376241557409615
